CPU,CPU Cores,CPU Threads,CPU TDP (W),GPU,GPU Series,GPU VRAM (GB),GPU Bandwidth (GB/s),GPU TDP (W),Total System TDP (W),Bottleneck Score,RAM (GB),Resolution,Graphics Settings,Min FPS,Avg FPS,Max FPS
Ryzen 9 5900X,12,24,105,GTX 1080 Ti,GTX 1000,11,484,150,255,2.71,32,3840x2160,Low,38,52,60
Intel i5-12400F,6,12,65,RTX 2070,RTX 2000,8,448,300,365,5.83,8,3840x2160,Low,39,49,62
Intel i7-12700F,12,20,65,GTX 1660,GTX 1000,6,192,150,215,2.5,16,1920x1080,Medium,42,51,61
Intel i7-12700F,12,20,65,RTX 3060,RTX 3000,12,360,200,265,3.25,16,2560x1440,High,34,48,57
Ryzen 9 5900X,12,24,105,RTX 4070 Ti,RTX 4000,12,576,120,225,3.75,8,2560x1440,Medium,44,63,74
Ryzen 3 4100,4,8,65,RTX 3090,RTX 3000,24,936,150,215,12.5,8,1920x1080,Ultra,48,59,71
Ryzen 9 7950X3D,16,32,170,GTX 1080 Ti,GTX 1000,11,484,200,370,2.03,8,1920x1080,Ultra,27,39,46
Intel i7-12700F,12,20,65,RTX 2080,RTX 2000,8,448,250,315,4.0,32,1920x1080,Low,84,103,113
Intel i7-13700K,16,24,125,RTX 2060,RTX 2000,6,336,120,245,2.5,16,1920x1080,Ultra,28,38,44
Ryzen 9 7950X3D,16,32,170,RX 7600,RX 7000,8,288,120,290,1.88,32,2560x1440,Ultra,33,40,47
Ryzen 7 7800X3D,8,16,120,RX 7600,RX 7000,8,288,120,240,3.75,16,1920x1080,High,39,52,63
Ryzen 7 5800X,8,16,105,RTX 4080,RTX 4000,16,716,250,355,6.56,16,1920x1080,Ultra,53,74,81
Intel i9-13900K,24,32,125,RTX 4070,RTX 4000,12,504,250,375,2.66,8,3840x2160,Ultra,25,33,37
Intel i9-13900K,24,32,125,GTX 1650 Super,GTX 1000,4,192,120,245,1.25,8,1920x1080,Medium,28,36,42
Ryzen 5 5600X,6,12,65,RX 7700 XT,RX 7000,12,432,120,185,6.25,8,3840x2160,Ultra,17,25,31
Ryzen 7 7800X3D,8,16,120,GTX 1660,GTX 1000,6,192,150,270,3.12,32,1920x1080,Ultra,30,40,49
Intel i5-12600K,10,16,125,RTX 2080,RTX 2000,8,448,120,245,5.0,16,3840x2160,Medium,40,53,68
Intel i9-14900K,24,32,125,GTX 1650 Super,GTX 1000,4,192,250,375,1.25,32,1920x1080,Medium,27,37,46
Intel i9-12900K,16,24,125,GTX 1060,GTX 1000,6,192,150,275,1.88,16,1920x1080,Low,42,54,60
Ryzen 9 5900X,12,24,105,RTX 4080,RTX 4000,16,716,200,305,4.38,16,3840x2160,Ultra,34,43,51
Intel i9-13900K,24,32,125,RTX 2080,RTX 2000,8,448,150,275,2.5,16,3840x2160,Medium,34,47,58
Ryzen 7 5800X,8,16,105,Intel Arc A770,Intel Arc,16,560,300,405,4.06,32,2560x1440,Medium,37,52,66
Ryzen 7 7800X3D,8,16,120,Intel Arc A770,Intel Arc,16,560,300,420,4.06,8,1920x1080,Ultra,25,34,37
Ryzen 5 5600X,6,12,65,RX 6700 XT,RX 6000,12,384,250,315,5.83,32,3840x2160,Ultra,21,29,34
Ryzen 9 5900X,12,24,105,RTX 3080 Ti,RTX 3000,12,912,200,305,4.08,32,1920x1080,Low,92,120,154
Ryzen 7 5800X,8,16,105,RX 6700 XT,RX 6000,12,384,200,305,4.38,8,1920x1080,Medium,43,56,62
Intel i9-14900K,24,32,125,RX 6900 XT,RX 6000,16,512,250,375,2.81,16,3840x2160,Medium,38,54,61
Ryzen 9 7950X3D,16,32,170,RTX 3060,RTX 3000,12,360,200,370,2.03,8,1920x1080,Low,49,67,79
Ryzen 9 7950X,16,32,170,RTX 2080,RTX 2000,8,448,120,290,2.5,32,1920x1080,Low,79,97,116
Intel i5-12600K,10,16,125,RTX 3080 Ti,RTX 3000,12,912,200,325,6.12,32,3840x2160,Ultra,36,47,59
Intel i9-14900K,24,32,125,GTX 1660,GTX 1000,6,192,150,275,1.56,8,2560x1440,Medium,25,33,37
Intel i5-12600K,10,16,125,RX 7600,RX 7000,8,288,250,375,3.75,8,3840x2160,Ultra,19,26,33
Intel i9-12900K,16,24,125,RX 6600,RX 6000,8,224,150,275,2.29,16,2560x1440,Medium,38,48,62
Ryzen 5 7600X,6,12,105,GTX 1650 Super,GTX 1000,4,192,150,255,3.33,16,1920x1080,Low,36,44,52
Ryzen 5 7600X,6,12,105,RTX 3080,RTX 3000,10,760,300,405,7.92,32,2560x1440,Medium,75,89,108
Intel i9-14900K,24,32,125,GTX 1070,GTX 1000,8,256,250,375,1.72,8,2560x1440,Ultra,23,28,32
Intel i9-14900K,24,32,125,RTX 3080 Ti,RTX 3000,12,912,300,425,3.06,32,2560x1440,Ultra,48,58,74
Intel i3-12100F,4,8,58,RX 6700 XT,RX 6000,12,384,250,308,8.75,16,1920x1080,Low,66,86,101
Ryzen 9 7950X3D,16,32,170,GTX 1080 Ti,GTX 1000,11,484,250,420,2.03,8,2560x1440,Ultra,23,29,36
Intel i9-13900K,24,32,125,GTX 1650 Super,GTX 1000,4,192,200,325,1.25,8,2560x1440,High,18,26,30
Intel i9-12900K,16,24,125,RX 6900 XT,RX 6000,16,512,150,275,3.75,16,3840x2160,Low,49,69,85
Ryzen 7 5800X,8,16,105,RX 6900 XT,RX 6000,16,512,120,225,5.62,32,3840x2160,Low,57,68,79
Ryzen 5 5600X,6,12,65,RX 6800,RX 6000,16,512,120,185,6.67,32,2560x1440,Medium,55,66,82
Ryzen 7 5800X,8,16,105,RTX 2080 Ti,RTX 2000,11,616,300,405,5.31,16,1920x1080,Ultra,41,59,69
Intel i5-12600K,10,16,125,RTX 3070,RTX 3000,8,448,300,425,5.0,8,1920x1080,High,46,58,71
Intel i9-13900K,24,32,125,RTX 3080,RTX 3000,10,760,200,325,2.97,16,2560x1440,High,51,68,75
Ryzen 7 5800X,8,16,105,RX 6800 XT,RX 6000,16,512,200,305,5.31,16,2560x1440,Low,70,88,106
Ryzen 9 7950X,16,32,170,RTX 4070 Super,RTX 4000,12,504,150,320,2.75,8,3840x2160,Low,47,61,68
Ryzen 5 5600X,6,12,65,GTX 1060,GTX 1000,6,192,150,215,3.75,16,1920x1080,Medium,29,41,46
Intel i3-12100F,4,8,58,RTX 4060,RTX 4000,8,272,200,258,8.75,16,2560x1440,Medium,43,57,70
Intel i9-13900K,24,32,125,GTX 1060,GTX 1000,6,192,200,325,1.41,32,1920x1080,Medium,37,48,56
Ryzen 9 7950X3D,16,32,170,RX 7900 XTX,RX 7000,24,960,150,320,3.28,16,3840x2160,Ultra,32,45,56
Ryzen 3 4100,4,8,65,RTX 3080,RTX 3000,10,760,250,315,11.88,16,2560x1440,High,50,71,83
Intel i9-12900K,16,24,125,Intel Arc A770,Intel Arc,16,560,150,275,2.71,8,3840x2160,High,28,34,42
Intel i9-12900K,16,24,125,RTX 3080 Ti,RTX 3000,12,912,150,275,4.08,16,1920x1080,Low,90,118,138
Intel i5-12400F,6,12,65,RTX 4070 Ti,RTX 4000,12,576,120,185,7.5,16,2560x1440,Medium,63,75,90
Intel i3-12100F,4,8,58,RX 6600 XT,RX 6000,8,256,300,358,7.5,16,2560x1440,Medium,39,55,71
Ryzen 5 7600X,6,12,105,RTX 4060,RTX 4000,8,272,250,355,5.83,32,2560x1440,High,44,55,67
Ryzen 5 7600X,6,12,105,GTX 1660,GTX 1000,6,192,250,355,4.17,8,3840x2160,Ultra,12,16,19
Intel i9-14900K,24,32,125,RX 6800 XT,RX 6000,16,512,150,275,2.66,16,2560x1440,Low,65,82,99
Ryzen 3 4100,4,8,65,RTX 3060 Ti,RTX 3000,8,448,300,365,8.75,32,1920x1080,Low,72,91,118
Ryzen 7 7800X3D,8,16,120,RTX 3060 Ti,RTX 3000,8,448,200,320,4.38,32,2560x1440,High,44,54,68
Ryzen 7 7800X3D,8,16,120,Intel Arc A750,Intel Arc,8,512,200,320,3.44,16,3840x2160,Ultra,16,23,26
Ryzen 9 7950X,16,32,170,GTX 1070,GTX 1000,8,256,250,420,1.72,32,1920x1080,Ultra,37,45,51
Ryzen 9 5900X,12,24,105,GTX 1650 Super,GTX 1000,4,192,200,305,1.67,8,3840x2160,Low,18,24,30
Intel i5-12600K,10,16,125,RX 6600,RX 6000,8,224,250,375,3.44,16,1920x1080,Low,49,67,76
Intel i7-13700K,16,24,125,RTX 3060 Ti,RTX 3000,8,448,300,425,2.92,16,1920x1080,Ultra,34,49,61
Ryzen 5 5600X,6,12,65,RX 7700 XT,RX 7000,12,432,250,315,6.25,8,3840x2160,Ultra,17,25,28
Intel i7-12700F,12,20,65,RTX 4060,RTX 4000,8,272,200,265,3.5,16,2560x1440,Medium,50,63,69
Ryzen 9 7950X3D,16,32,170,GTX 1060,GTX 1000,6,192,250,420,1.41,32,3840x2160,High,19,25,28
Intel i7-12700F,12,20,65,RTX 4070 Super,RTX 4000,12,504,150,215,4.4,16,3840x2160,Low,46,65,75
Ryzen 7 5800X,8,16,105,Intel Arc A770,Intel Arc,16,560,200,305,4.06,16,1920x1080,High,45,54,63
Ryzen 5 5600X,6,12,65,RX 7900 XTX,RX 7000,24,960,300,365,8.75,32,3840x2160,Low,64,82,102
Intel i9-12900K,16,24,125,RTX 4070 Ti,RTX 4000,12,576,300,425,3.75,16,2560x1440,High,53,66,73
Ryzen 7 5800X,8,16,105,Intel Arc A750,Intel Arc,8,512,150,255,3.44,32,1920x1080,Medium,44,55,64
Intel i7-12700F,12,20,65,RTX 3070,RTX 3000,8,448,300,365,4.0,8,1920x1080,Medium,54,70,86
Intel i7-12700F,12,20,65,RX 6700 XT,RX 6000,12,384,200,265,3.5,8,2560x1440,Low,53,63,75
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,150,255,2.5,8,2560x1440,High,18,26,31
Intel i7-13700K,16,24,125,Intel Arc A750,Intel Arc,8,512,120,245,2.29,16,3840x2160,Medium,23,32,35
Intel i5-12600K,10,16,125,RTX 2070,RTX 2000,8,448,300,425,4.38,8,2560x1440,Ultra,22,32,39
Intel i5-12400F,6,12,65,RX 7600,RX 7000,8,288,120,185,5.0,8,1920x1080,High,31,39,48
Intel i9-13900K,24,32,125,RTX 3060 Ti,RTX 3000,8,448,300,425,2.19,8,1920x1080,High,38,47,60
Ryzen 7 5800X,8,16,105,RTX 4080 Super,RTX 4000,16,742,120,225,6.75,32,1920x1080,Medium,81,113,138
Intel i9-13900K,24,32,125,RTX 3060 Ti,RTX 3000,8,448,300,425,2.19,32,2560x1440,Medium,45,57,72
Ryzen 9 7950X3D,16,32,170,RTX 4070 Super,RTX 4000,12,504,250,420,2.75,16,3840x2160,Medium,41,58,73
Ryzen 9 5900X,12,24,105,RTX 3070,RTX 3000,8,448,120,225,3.33,16,3840x2160,Medium,40,48,53
Intel i7-13700K,16,24,125,RX 7700 XT,RX 7000,12,432,250,375,3.12,32,2560x1440,High,41,59,70
Ryzen 5 5600X,6,12,65,RX 6900 XT,RX 6000,16,512,200,265,7.5,32,3840x2160,High,43,57,68
Ryzen 9 5900X,12,24,105,RTX 3060 Ti,RTX 3000,8,448,120,225,2.92,32,1920x1080,Ultra,34,49,61
Ryzen 7 7800X3D,8,16,120,RX 6800 XT,RX 6000,16,512,120,240,5.31,8,3840x2160,Low,40,53,64
Intel i9-12900K,16,24,125,GTX 1060,GTX 1000,6,192,150,275,1.88,16,2560x1440,Medium,28,35,41
Ryzen 9 5900X,12,24,105,RX 7700 XT,RX 7000,12,432,250,355,3.12,32,2560x1440,High,45,61,75
Ryzen 9 7950X3D,16,32,170,RX 7800 XT,RX 7000,16,624,150,320,2.66,16,2560x1440,Medium,50,68,81
Intel i3-12100F,4,8,58,GTX 1080 Ti,GTX 1000,11,484,300,358,8.12,8,3840x2160,Low,30,42,48
Ryzen 5 7600X,6,12,105,Intel Arc A750,Intel Arc,8,512,250,355,4.58,8,2560x1440,Low,37,48,58
Intel i9-13900K,24,32,125,RTX 4060,RTX 4000,8,272,300,425,2.19,16,3840x2160,Ultra,24,31,39
Intel i3-12100F,4,8,58,RTX 2080,RTX 2000,8,448,120,178,10.0,16,2560x1440,Low,67,81,96
Intel i5-12400F,6,12,65,RTX 3060,RTX 3000,12,360,250,315,5.42,32,3840x2160,High,25,34,39
Ryzen 9 7950X3D,16,32,170,GTX 1660,GTX 1000,6,192,300,470,1.56,32,3840x2160,Ultra,18,24,28
Intel i9-12900K,16,24,125,RX 7800 XT,RX 7000,16,624,200,325,3.54,16,1920x1080,Ultra,49,59,72
Ryzen 5 5600X,6,12,65,RTX 4070 Ti,RTX 4000,12,576,300,365,7.5,32,1920x1080,Low,89,108,126
Intel i3-12100F,4,8,58,RTX 4080,RTX 4000,16,716,150,208,13.12,16,2560x1440,Low,79,105,122
Intel i9-14900K,24,32,125,RTX 3080 Ti,RTX 3000,12,912,120,245,3.06,32,3840x2160,High,41,51,65
Ryzen 5 7600X,6,12,105,Intel Arc A770,Intel Arc,16,560,250,355,5.42,8,1920x1080,High,37,46,55
Ryzen 3 4100,4,8,65,RTX 2070,RTX 2000,8,448,200,265,8.75,32,3840x2160,Ultra,21,28,34
Intel i7-12700F,12,20,65,RX 7700 XT,RX 7000,12,432,150,215,3.75,16,1920x1080,Medium,60,74,91
Ryzen 5 5600X,6,12,65,RTX 4070 Super,RTX 4000,12,504,300,365,7.33,16,2560x1440,Medium,64,76,84
Intel i9-13900K,24,32,125,RTX 4060,RTX 4000,8,272,120,245,2.19,16,2560x1440,Low,57,76,87
Intel i7-12700F,12,20,65,RTX 4080,RTX 4000,16,716,120,185,5.25,32,2560x1440,Low,88,116,131
Ryzen 5 5600X,6,12,65,RX 7800 XT,RX 7000,16,624,300,365,7.08,32,2560x1440,Ultra,38,52,62
Ryzen 9 7950X,16,32,170,RTX 3060,RTX 3000,12,360,250,420,2.03,32,1920x1080,Medium,54,67,84
Ryzen 3 4100,4,8,65,RX 6800,RX 6000,16,512,200,265,10.0,32,3840x2160,Low,47,62,70
Ryzen 9 5900X,12,24,105,RX 6700 XT,RX 6000,12,384,150,255,2.92,32,2560x1440,Low,54,71,90
Ryzen 3 4100,4,8,65,RTX 3080 Ti,RTX 3000,12,912,200,265,12.25,8,2560x1440,Medium,47,67,84
Ryzen 9 7950X,16,32,170,RX 7700 XT,RX 7000,12,432,150,320,2.34,16,3840x2160,Ultra,24,35,39
Intel i3-12100F,4,8,58,RTX 3090,RTX 3000,24,936,120,178,12.5,32,2560x1440,Medium,78,92,110
Intel i5-12400F,6,12,65,GTX 1070,GTX 1000,8,256,120,185,4.58,8,2560x1440,High,27,37,42
Ryzen 7 7800X3D,8,16,120,GTX 1650 Super,GTX 1000,4,192,300,420,2.5,32,1920x1080,Low,43,52,63
Ryzen 3 4100,4,8,65,RX 7700 XT,RX 7000,12,432,300,365,9.38,32,1920x1080,Medium,61,75,86
Ryzen 7 7800X3D,8,16,120,RTX 3080 Ti,RTX 3000,12,912,250,370,6.12,8,2560x1440,Medium,48,67,77
Ryzen 3 4100,4,8,65,RTX 2080 Ti,RTX 2000,11,616,150,215,10.62,32,2560x1440,High,50,68,81
Ryzen 3 4100,4,8,65,Intel Arc A750,Intel Arc,8,512,300,365,6.88,32,2560x1440,Ultra,24,33,40
Intel i5-12400F,6,12,65,RTX 2080 Ti,RTX 2000,11,616,200,265,7.08,16,3840x2160,Medium,41,55,71
Intel i7-12700F,12,20,65,RTX 3080 Ti,RTX 3000,12,912,200,265,4.9,8,2560x1440,Ultra,40,53,68
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,200,265,4.58,8,1920x1080,High,31,42,50
Ryzen 9 5900X,12,24,105,RTX 2080,RTX 2000,8,448,250,355,3.33,16,2560x1440,Low,61,81,102
Intel i7-12700F,12,20,65,Intel Arc A770,Intel Arc,16,560,300,365,3.25,32,3840x2160,High,24,33,40
Ryzen 5 7600X,6,12,105,RX 6900 XT,RX 6000,16,512,150,255,7.5,8,3840x2160,Low,43,60,71
Intel i3-12100F,4,8,58,RX 6600 XT,RX 6000,8,256,150,208,7.5,16,1920x1080,High,36,51,58
Ryzen 9 5900X,12,24,105,RTX 4070 Ti,RTX 4000,12,576,200,305,3.75,32,2560x1440,Ultra,37,51,62
Ryzen 5 5600X,6,12,65,RTX 3060 Ti,RTX 3000,8,448,300,365,5.83,16,1920x1080,Ultra,37,45,58
Intel i9-14900K,24,32,125,RTX 2070,RTX 2000,8,448,150,275,2.19,8,1920x1080,Medium,46,63,77
Intel i5-12400F,6,12,65,RX 6600 XT,RX 6000,8,256,300,365,5.0,32,3840x2160,Ultra,18,25,29
Intel i7-12700F,12,20,65,RTX 2060,RTX 2000,6,336,150,215,3.0,16,3840x2160,Ultra,23,30,34
Intel i9-13900K,24,32,125,RTX 4090,RTX 4000,24,1012,200,325,3.75,16,2560x1440,Ultra,55,67,81
Intel i9-13900K,24,32,125,RX 6700 XT,RX 6000,12,384,250,375,2.19,8,1920x1080,Ultra,31,37,42
Intel i9-14900K,24,32,125,RTX 4070 Super,RTX 4000,12,504,250,375,2.75,8,3840x2160,Ultra,21,30,34
Intel i9-13900K,24,32,125,RX 6600,RX 6000,8,224,120,245,1.72,32,3840x2160,Ultra,18,26,32
Ryzen 5 7600X,6,12,105,RTX 3080 Ti,RTX 3000,12,912,120,225,8.17,32,2560x1440,High,66,79,96
Intel i3-12100F,4,8,58,RTX 3090,RTX 3000,24,936,300,358,12.5,16,3840x2160,Ultra,40,50,56
Intel i5-12400F,6,12,65,RTX 3060,RTX 3000,12,360,120,185,5.42,32,2560x1440,Medium,43,58,68
Ryzen 5 7600X,6,12,105,RX 7900 XTX,RX 7000,24,960,200,305,8.75,16,2560x1440,Medium,60,85,95
Ryzen 7 5800X,8,16,105,RX 6800,RX 6000,16,512,250,355,5.0,32,2560x1440,High,54,64,77
Intel i9-12900K,16,24,125,RTX 4070 Ti,RTX 4000,12,576,250,375,3.75,8,3840x2160,Ultra,29,35,42
Intel i5-12400F,6,12,65,RTX 3060 Ti,RTX 3000,8,448,250,315,5.83,8,1920x1080,Low,52,68,76
Ryzen 9 5900X,12,24,105,GTX 1660,GTX 1000,6,192,250,355,2.08,16,2560x1440,Low,39,49,58
Intel i7-12700F,12,20,65,Intel Arc A750,Intel Arc,8,512,300,365,2.75,8,1920x1080,High,26,37,46
Ryzen 3 4100,4,8,65,RTX 3070,RTX 3000,8,448,150,215,10.0,32,3840x2160,Low,49,68,87
Ryzen 9 7950X3D,16,32,170,GTX 1080 Ti,GTX 1000,11,484,300,470,2.03,16,2560x1440,Low,54,68,80
Intel i7-12700F,12,20,65,RTX 4070 Ti,RTX 4000,12,576,200,265,4.5,8,1920x1080,Low,73,91,108
Intel i3-12100F,4,8,58,RTX 4080,RTX 4000,16,716,300,358,13.12,16,1920x1080,Ultra,65,77,98
Intel i7-13700K,16,24,125,RTX 3070,RTX 3000,8,448,300,425,3.33,16,1920x1080,High,56,70,84
Ryzen 7 7800X3D,8,16,120,GTX 1070,GTX 1000,8,256,120,240,3.44,8,2560x1440,High,26,31,37
Intel i9-13900K,24,32,125,Intel Arc A770,Intel Arc,16,560,200,325,2.03,16,2560x1440,Ultra,33,40,45
Ryzen 9 7950X3D,16,32,170,RX 6800,RX 6000,16,512,200,370,2.5,32,3840x2160,High,35,47,52
Intel i9-13900K,24,32,125,RX 7700 XT,RX 7000,12,432,250,375,2.34,16,2560x1440,Ultra,33,42,46
Ryzen 7 5800X,8,16,105,RTX 3060,RTX 3000,12,360,150,255,4.06,8,2560x1440,Ultra,21,29,34
Intel i7-13700K,16,24,125,RX 7700 XT,RX 7000,12,432,200,325,3.12,16,3840x2160,Low,41,58,73
Intel i7-13700K,16,24,125,GTX 1650 Super,GTX 1000,4,192,120,245,1.67,8,3840x2160,High,14,19,20
Intel i5-12400F,6,12,65,RX 7800 XT,RX 7000,16,624,200,265,7.08,16,1920x1080,Ultra,43,55,66
Ryzen 7 5800X,8,16,105,RTX 3090,RTX 3000,24,936,150,255,6.25,32,3840x2160,Low,62,77,91
Ryzen 7 7800X3D,8,16,120,RTX 2080,RTX 2000,8,448,250,370,5.0,32,1920x1080,Ultra,43,56,66
Ryzen 3 4100,4,8,65,RTX 4080,RTX 4000,16,716,120,185,13.12,8,1920x1080,Medium,71,85,98
Ryzen 9 5900X,12,24,105,RTX 2070,RTX 2000,8,448,250,355,2.92,8,1920x1080,Ultra,30,37,44
Ryzen 9 7950X3D,16,32,170,RTX 4070,RTX 4000,12,504,200,370,2.66,32,3840x2160,High,40,50,59
Intel i5-12600K,10,16,125,GTX 1650 Super,GTX 1000,4,192,120,245,2.5,8,1920x1080,Low,26,37,48
Intel i9-13900K,24,32,125,RX 7600,RX 7000,8,288,300,425,1.88,32,3840x2160,Medium,30,38,47
Intel i9-13900K,24,32,125,GTX 1070,GTX 1000,8,256,150,275,1.72,8,2560x1440,Ultra,19,27,31
Ryzen 9 7950X,16,32,170,RX 7700 XT,RX 7000,12,432,250,420,2.34,16,2560x1440,Low,56,77,93
Intel i5-12400F,6,12,65,RTX 4080,RTX 4000,16,716,250,315,8.75,32,1920x1080,Low,103,135,160
Ryzen 5 5600X,6,12,65,RTX 2080,RTX 2000,8,448,250,315,6.67,16,2560x1440,Ultra,38,47,60
Intel i9-14900K,24,32,125,RTX 2080 Ti,RTX 2000,11,616,250,375,2.66,16,3840x2160,Low,52,67,77
Ryzen 9 7950X3D,16,32,170,GTX 1660,GTX 1000,6,192,150,320,1.56,16,2560x1440,High,26,38,43
Ryzen 9 7950X3D,16,32,170,RTX 4080 Super,RTX 4000,16,742,300,470,3.38,32,2560x1440,Medium,77,92,107
Ryzen 9 7950X,16,32,170,GTX 1650 Super,GTX 1000,4,192,250,420,1.25,16,2560x1440,Ultra,21,27,33
Intel i9-12900K,16,24,125,RTX 3070,RTX 3000,8,448,250,375,3.33,32,2560x1440,Low,61,85,96
Intel i7-12700F,12,20,65,RX 6700 XT,RX 6000,12,384,200,265,3.5,8,2560x1440,High,28,40,43
Ryzen 7 5800X,8,16,105,Intel Arc A770,Intel Arc,16,560,300,405,4.06,8,1920x1080,Low,46,65,74
Intel i9-14900K,24,32,125,RX 7700 XT,RX 7000,12,432,150,275,2.34,16,2560x1440,High,45,56,67
Intel i7-12700F,12,20,65,RTX 2080 Ti,RTX 2000,11,616,120,185,4.25,8,2560x1440,Ultra,37,47,57
Intel i5-12400F,6,12,65,RX 7800 XT,RX 7000,16,624,200,265,7.08,32,1920x1080,Medium,62,85,99
Ryzen 9 7950X,16,32,170,RX 7800 XT,RX 7000,16,624,150,320,2.66,8,2560x1440,Low,56,75,84
Ryzen 9 7950X,16,32,170,RX 6700 XT,RX 6000,12,384,200,370,2.19,16,1920x1080,Medium,52,68,75
Ryzen 9 5900X,12,24,105,RTX 4070 Super,RTX 4000,12,504,150,255,3.67,8,3840x2160,Medium,38,50,63
Ryzen 9 5900X,12,24,105,RX 6700 XT,RX 6000,12,384,150,255,2.92,32,2560x1440,Ultra,35,46,50
Intel i3-12100F,4,8,58,RX 7900 XTX,RX 7000,24,960,120,178,13.12,16,1920x1080,Low,105,124,140
Ryzen 7 7800X3D,8,16,120,RTX 2080,RTX 2000,8,448,300,420,5.0,32,3840x2160,Medium,39,49,61
Ryzen 5 5600X,6,12,65,RX 6700 XT,RX 6000,12,384,200,265,5.83,32,2560x1440,High,46,56,61
Intel i7-13700K,16,24,125,RX 6600 XT,RX 6000,8,256,200,325,2.5,32,2560x1440,Medium,43,55,64
Ryzen 7 7800X3D,8,16,120,RTX 3060 Ti,RTX 3000,8,448,150,270,4.38,8,2560x1440,Low,45,60,75
Ryzen 5 5600X,6,12,65,RTX 3070,RTX 3000,8,448,300,365,6.67,32,1920x1080,High,55,69,76
Ryzen 3 4100,4,8,65,RTX 3080 Ti,RTX 3000,12,912,300,365,12.25,32,2560x1440,Ultra,40,57,66
Ryzen 7 5800X,8,16,105,GTX 1660,GTX 1000,6,192,150,255,3.12,16,1920x1080,Low,46,57,67
Intel i9-14900K,24,32,125,RTX 4080 Super,RTX 4000,16,742,250,375,3.38,32,2560x1440,High,67,84,103
Intel i9-14900K,24,32,125,GTX 1080 Ti,GTX 1000,11,484,250,375,2.03,16,2560x1440,Medium,38,54,63
Intel i5-12600K,10,16,125,GTX 1070,GTX 1000,8,256,300,425,3.44,8,1920x1080,Ultra,25,32,37
Ryzen 7 7800X3D,8,16,120,RX 7900 XTX,RX 7000,24,960,250,370,6.56,32,2560x1440,High,60,79,93
Ryzen 9 5900X,12,24,105,Intel Arc A770,Intel Arc,16,560,300,405,2.71,16,1920x1080,Medium,48,67,83
Intel i7-12700F,12,20,65,RTX 3070,RTX 3000,8,448,120,185,4.0,8,2560x1440,Ultra,36,42,49
Ryzen 9 5900X,12,24,105,GTX 1660,GTX 1000,6,192,200,305,2.08,32,1920x1080,High,33,42,46
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,120,225,5.31,8,2560x1440,Ultra,32,45,54
Ryzen 5 5600X,6,12,65,RTX 4060,RTX 4000,8,272,120,185,5.83,32,1920x1080,Medium,51,72,84
Ryzen 9 5900X,12,24,105,RX 7600,RX 7000,8,288,300,405,2.5,32,3840x2160,High,25,34,39
Intel i7-13700K,16,24,125,GTX 1650 Super,GTX 1000,4,192,120,245,1.67,16,3840x2160,Ultra,13,19,23
Ryzen 9 5900X,12,24,105,RX 6600,RX 6000,8,224,200,305,2.29,16,1920x1080,Ultra,32,38,48
Intel i5-12600K,10,16,125,Intel Arc A770,Intel Arc,16,560,120,245,4.06,32,3840x2160,Low,44,55,63
Intel i5-12600K,10,16,125,RTX 3060 Ti,RTX 3000,8,448,120,245,4.38,32,3840x2160,Low,45,57,67
Intel i7-12700F,12,20,65,RTX 3060,RTX 3000,12,360,250,315,3.25,8,1920x1080,High,35,44,56
Intel i5-12600K,10,16,125,RTX 4070 Ti,RTX 4000,12,576,250,375,5.62,16,2560x1440,Low,66,95,112
Intel i3-12100F,4,8,58,RX 7900 XTX,RX 7000,24,960,200,258,13.12,16,2560x1440,Ultra,49,58,70
Intel i7-13700K,16,24,125,RTX 3060,RTX 3000,12,360,300,425,2.71,8,2560x1440,Low,41,54,61
Ryzen 5 7600X,6,12,105,RTX 3060,RTX 3000,12,360,200,305,5.42,16,1920x1080,Low,56,76,89
Ryzen 3 4100,4,8,65,RX 6600,RX 6000,8,224,300,365,6.88,8,1920x1080,Low,42,54,61
Ryzen 7 7800X3D,8,16,120,GTX 1660,GTX 1000,6,192,250,370,3.12,16,2560x1440,Low,38,50,59
Intel i9-14900K,24,32,125,RTX 2070,RTX 2000,8,448,300,425,2.19,8,2560x1440,Low,50,63,71
Ryzen 9 5900X,12,24,105,RX 6800 XT,RX 6000,16,512,300,405,3.54,8,1920x1080,Medium,60,71,88
Ryzen 9 5900X,12,24,105,RX 6800 XT,RX 6000,16,512,150,255,3.54,16,1920x1080,Low,84,106,130
Intel i3-12100F,4,8,58,RTX 2080 Ti,RTX 2000,11,616,150,208,10.62,32,2560x1440,High,48,61,79
Ryzen 5 5600X,6,12,65,RTX 2080,RTX 2000,8,448,300,365,6.67,16,1920x1080,Low,73,91,115
Ryzen 3 4100,4,8,65,RX 6800,RX 6000,16,512,250,315,10.0,32,1920x1080,High,60,76,98
Ryzen 3 4100,4,8,65,RTX 3080 Ti,RTX 3000,12,912,150,215,12.25,16,3840x2160,High,43,51,59
Intel i3-12100F,4,8,58,RX 7600,RX 7000,8,288,250,308,7.5,32,1920x1080,Low,56,71,88
Ryzen 7 7800X3D,8,16,120,GTX 1070,GTX 1000,8,256,120,240,3.44,32,3840x2160,Low,33,40,48
